num_files,source_x_size,source_y_size,source_z_size,tiles_x_count,tiles_y_count,tiles_z_count,buffer_z_size,separate_time_us,virtual_time_us
16,1024,1024,1000,2,2,4,1,29720397,148741339
16,1024,1024,1000,2,2,4,1,28904880,148633968
16,1024,1024,1000,2,2,4,1,28815033,148287215
16,1024,1024,1000,2,2,4,1,28615925,148730432
16,1024,1024,1000,2,2,4,1,28791827,148352789
16,1024,1024,1000,2,2,4,1,28783598,148498563
16,1024,1024,1000,2,2,4,1,28794587,148383077
16,1024,1024,1000,2,2,4,1,28628744,148525864
16,1024,1024,1000,2,2,4,1,28644504,148430113
16,1024,1024,1000,2,2,4,1,28454995,148706786
16,1024,1024,1000,2,2,4,10,31693365,41155300
16,1024,1024,1000,2,2,4,10,31693442,41196700
16,1024,1024,1000,2,2,4,10,31786112,41203940
16,1024,1024,1000,2,2,4,10,31713460,41187813
16,1024,1024,1000,2,2,4,10,31830289,41170319
16,1024,1024,1000,2,2,4,10,31735599,41160116
16,1024,1024,1000,2,2,4,10,31732429,41196661
16,1024,1024,1000,2,2,4,10,31766321,41180646
16,1024,1024,1000,2,2,4,10,31705108,41238290
16,1024,1024,1000,2,2,4,10,31688357,41227310
16,1024,1024,1000,2,2,4,50,30800596,31097210
16,1024,1024,1000,2,2,4,50,30802567,31161165
16,1024,1024,1000,2,2,4,50,30841795,31061803
16,1024,1024,1000,2,2,4,50,30817242,31053030
16,1024,1024,1000,2,2,4,50,30863209,31072286
16,1024,1024,1000,2,2,4,50,30869524,31046966
16,1024,1024,1000,2,2,4,50,30801023,31066403
16,1024,1024,1000,2,2,4,50,30831403,31097200
16,1024,1024,1000,2,2,4,50,30927312,31055399
16,1024,1024,1000,2,2,4,50,30801958,31077762
16,1024,1024,1000,2,2,4,100,30698524,29936868
16,1024,1024,1000,2,2,4,100,30841524,29884920
16,1024,1024,1000,2,2,4,100,30900364,29940287
16,1024,1024,1000,2,2,4,100,30941411,30121247
16,1024,1024,1000,2,2,4,100,30771743,30240298
16,1024,1024,1000,2,2,4,100,30849523,30094907
16,1024,1024,1000,2,2,4,100,30830432,30143902
16,1024,1024,1000,2,2,4,100,30830083,30166394
16,1024,1024,1000,2,2,4,100,30986833,30180036
16,1024,1024,1000,2,2,4,100,30711826,29920159
16,1024,1024,1000,2,2,4,250,31057214,29545586
16,1024,1024,1000,2,2,4,250,31092295,29535358
16,1024,1024,1000,2,2,4,250,30851919,29520084
16,1024,1024,1000,2,2,4,250,30898643,29571042
16,1024,1024,1000,2,2,4,250,30925111,29783142
16,1024,1024,1000,2,2,4,250,30830782,29545467
16,1024,1024,1000,2,2,4,250,30847184,29523055
16,1024,1024,1000,2,2,4,250,30820096,29525932
16,1024,1024,1000,2,2,4,250,31076802,29779010
16,1024,1024,1000,2,2,4,250,30905539,29553705
16,1024,1024,1000,2,2,4,500,31310898,30085761
16,1024,1024,1000,2,2,4,500,31146972,29878079
16,1024,1024,1000,2,2,4,500,31254285,29809815
16,1024,1024,1000,2,2,4,500,31230753,30078134
16,1024,1024,1000,2,2,4,500,31257466,29990943
16,1024,1024,1000,2,2,4,500,31382361,30107101
16,1024,1024,1000,2,2,4,500,31327873,30107391
16,1024,1024,1000,2,2,4,500,31388900,30088717
16,1024,1024,1000,2,2,4,500,31262777,29855187
16,1024,1024,1000,2,2,4,500,31438710,30098335
